_PY	_PYaltFULL1	_PYaltFULL2	_PYaltFULL3
fàngkuān xiànzhì			
tōnghuò jǐnsuō			
qíjiàn			
fēnqí			
fēnbēng líxī			
tǔbēng wǎjiě			
yíngjiā tōng chī			
yìdāo bìmìng			
zìshǒu			
zìshǒu tóu’àn			
huì mòrú shēn			
zhíde chēngdào			
lǐjiào chīrén			
chóudí			
chóujiā			
yǒu àixīn			
qiújiù			
guānyàn wénzhāng			
juéxǐng			
zhèngzhì juéxǐng			
cǎogēn			
fēi zhèngfǔ zǔzhī			
fēi yínglì zǔzhī			
yòuyīn			
cǎogēn jiēcéng			
fēi yínglì jīgòu			
zhèngfǔ jīguān			
huànxǐng			
yánsè gémìng			
shíhuà			
dúlǎn dàquán			
èzhì tōngzhàng			
xīnwén chuīfēng huì			
chuīfēng huì			
jìzhě huì			
jìzhě zhāodài huì			
chénmín			
tǒngzhì zhě			
tǒngzhì jiējí			
tǒngzhì jítuán			
guózhài			
chángqīng guózhài			
wàiguó zhàiquàn			
tíngzhí			
tíngzhí tíngxīn			
jiězhí			
liúzhí tíngxīn			
liúzhí liúxīn			
tíngxīn liúzhí			
fúkuā fēng			
shèhuì fēngqì			
fēngqì			
gǎigé kāifàng			
hànzāi			
kànghàn			
hónglào zāihài	hóngláo zāihài		
hóngzāi			
shuǐzāi			
kànghóng			
kànghóng qiǎngxiǎn			
wù běnwèi			
shēngtài xìtǒng			
fùmǔ guān			
pīngpāng wàijiāo			
yǒuyì sài			
wénhuà dàshǐ			
yǒuyì dìyī, bǐsài dì’èr			
pǔshì jiàzhí			
jǔzhǐ			
hóngguān tiáokòng			
qīnglián zhǐshù			
jièzhài chéngyǐn			
huánjìng bǎohù			
huánbǎo			
huánjìng wūrǎn			
shuāngyíng júmiàn			
gǔdòng yúlùn			
zhǔliú yúlùn			
zhǔliú			
màojìn			
fúcóng			
guǎnjiào			
yípài gēwǔ shēngpíng			
qiántái cí			
hányì			
guǎtóu lǒngduàn			
nèimù xiāoxi			
jièyán fǎ			
zìlǜ			
fāzhǎn cáishì yìng dàoli			
jùzhòng yínluàn zuì			
jítǐ xìngjiāo			
xuǎnqíng kànzhǎng			
kuǐlěi zhèngquán			
kuǐlěi zhèngfǔ			
dòufǔ zhā gōngchéng			
liúluò tāxiāng			
liúluò jiētóu			
fúzhǐ			
lìrùn			
gè xíng qíshì			
yù jiāzhī zuì, héhuàn wúcí			
qiāng gǎnzi lǐmiàn chū zhèngquán			
nùqì nánxiāo			
yí dùzi nùqì			
yuànqì			
yí dùzi yuànqì			
mǎnfù yuànqì			
yuànqì mǎnfù			
zhēn miànmù			
tiānxià wūyā yìbān hēi			
pīdòu			
qiángquán zhèngzhì			
qiángquán guójiā			
qíngbào			
péngdǎng			
gōnggòng shìwù			
gōngzhòng			
yìduān			
yìduān xiéshuō			
xiéjiào			
xié búshèng zhèng			
yǐnqǐ tàfá			
yǐnfā tàfá			
tǎozhài gōngsī			
jiànshè xìng pīpíng			
sǐyú fēimìng			
jiànliè xīn xǐ			
yuānyù			
zhènbào jǐngchá			
wǔzhuāng jǐngchá			
zhǒngzú mièjué			
zhǒngzú túshā			
zhǒngzú qīngxǐ			
zhǒngzú jìnghuà			
xiě nóngyú shuǐ	xuè nóngyú shuǐ		
zīchǎn jiējí			
wúchǎn jiējí			
gōngrén jiējí			
láogōng jiējí			
láogōng jiēcéng			
shàngcéng jiējí			
xiàcéng jiējí			
báilǐng			
lánlǐng			
zuò’è			
pángmén zuǒdào			
gémìng gànbù			
hóng èrdài			
dìzhǔ			
huài fènzi			
yòupài			
gànbù			
jīngjì fāzhǎn			
jūnshì ruǎnlèi	jūnshì ruǎnlè		
jīngjì ruǎnlèi	jīngjì ruǎnlè		
jìshù zhuǎnràng			
wéiwěn			
yíngyú			
cáizhèng yíngyú			
shùnchā			
chìzì			
cáizhèng chìzì			
hézuò gòngyíng			
gāodiào			
jiàzhí guān			
xūnǐ shìjiè			
rènwu	rènwù		
xiàngmù			
Zhōngguó tèsè			
zhù Huá dàshǐ			
zhù … dàshǐ			
fādòng zhànzhēng			
kāizhàn			
jiārù zhànzhēng			
cānzhàn			
dǎzhàng			
liǎng’àn sāndì			
zhòngyào lìliang			
tōu			
qūshì			
wénhuà qīnlüè			
wǔlì  qīnlüè			
guófáng bù			
wǔmáo dǎng			
wǔmáo			
jùjiāo			
jiāodiǎn			
bùhé luóji	bùhé luójí		
zhì guān zhòngyào			
zhì guān jǐnyào			
zhīshi chǎnquán			
zhìhuì cáichǎn quán			
hòujì wúrén			
jiàzhí tǐxì			
líng hé bóyì			
liǎngjí fēnhuà			
chànghóng dǎhēi			
yǐnbào			
qīngxǐ			
huàshàng jùhào			
dǎshàn xiūzhǐ fú			
huàshàn xiūzhǐ fú			
bàibù fùhuó			
zhèngzhì bàofù			
xiāoyáo fǎwài			
xiányú fānshēn			
dōngshān zài qǐ			
déshì			
shīshì			
dàshì suǒ qū			
cháoliú			
lìshǐ cháoliú			
fānshēn			
shíqíng			
zhēnxiàng			
zhēnlǐ			
guānchǎng guīzé			
yáoyán sìqǐ			
èxìng xúnhuán			
jìyú			
jìyú dàwèi			
gōng bào sīchóu			
shìwēi	shìwéi		
luǒguān			
zhèngzhì zhǔzhāng			
bèishū			
zhīchí			
dúcǎo			
diàobīng qiǎnjiàng			
bùshǔ			
bùróng dīgū			
jìngguān qíbiàn			
fànmài			
zhàiquàn			
qīngxiāo			
jìnyùn			
xièlòu	xièlù		
xiàshǔ			
gōngláo			
méiyǒu gōngláo, yěyǒu kǔláo			
kǔláo			
shìzhě shēngcún			
Dá’ěrwén zhǔyì			
wùjìng tiānzé			
shèyùn rénshì			
yuánlǎo			
chūshì			
yímín			
yílǎo			
yílǎo yíshào			
fāhuī  zuòyòng			
jiànshè xìng			
zhèngzhì lěnggǎn			
zhīqīng			
fùchū			
chóngchū jiānghú			
tòngkū liútì			
kūqì			
mǎnmù chuāngyí			
ruòdiǎn			
quēdiǎn			
duǎnchù			
chángchù			
jiǎxiàng			
jǐngxùn			
shènglì			
zhànshèng			
dǎbài			
cǎnbài			
jìngsài			
dāngwù zhī jí			
zhēxiū bù			
xúnzū			
shuāngguī			
bú kàopǔ			
kàopǔ			
zhǔnquè			
zhèngquè			
zhǔnquè wúwù			
àijiàng			
qīnxìn			
gōngmíng			
gōngmíng lìlù			
lìlù			
jiǎoqíng			
zhàiwù			
shùnlì			
zhèngzhì suànji			
bēigé	bēigě		
bèixìn zuì			
ràng rén yúxīn bùrěn			
qiǎng fēngtou	qiǎng fēngtóu		
qiānbiàn wànhuà			
yìshi dào	yìshì dào		
gòngxiàn			
juānkuǎn			
juān			
zhèngzhì xiànxīn			
wù yǐlèi jù			
chòuwèi xiāngtóu			
nóngmín			
dànàn bùsǐ			
xìngcún zhě			
xìngcún			
huóxialai	huóxiàlái		
wàijiāo			
zhīchí zhě			
bú zhèngpài			
guóyíng qǐyè	guóyíng qìyè		
mínyíng qǐyè	mínyíng qìyè		
sīyíng qǐyè	sīyíng qìyè		
kuāzhāng de xiūcí			
huòbì			
tōngyòng huòbì			
qiángōng jìnqì			
gōngbài chuíchéng			
dàgōng gàochéng			
kǒngbù zhǔyì			
kǒngbù tǒngzhì			
kǒngbù fènzi			
shǐ wú qiánlì			
qián suǒ wèiyǒu			
kōngqián			
rìběn guǐzi			
wùdǎo rén			
tāntú			
mínshēng wèntí			
fǎn rénlèi zuì			
jiǎowǎng guòzhèng			
fēnliè zhǔyì			
jiāoshè			
kǔnàn shēnzhòng			
qǔ ér dàizhī 			
qǔdài			
xūnǐ			
shèhuì zhǔyì			
wúxiàn shànggāng			
dǎng lùxiàn			
gémìng lùxiàn			
zhèngzhì guàshuài			
xuěshàng jiāshuāng			
zhēnxīn huà			
zérèn			
wúzhù			
zhìcái			
liùsì shìjiàn			
shìjiàn			
shìbiàn			
zhìzào			
duānyóu			
yuányóu			
tiāoqǐ			
shōurù			
suǒdé			
suǒdé shuì			
rénjūn shōurù			
zēngjiā			
guójì			
yángmíng guójì			
fēishēng guójì			
guójì gē			
guógē			
dǎnggē			
jūngē			
guójì shèhuì			
shìqì gāo’áng			
shìqì dīluò			
gōngzhī			
wūmíng huà			
zhāohuò			
wùpàn			
wéirén			
chūnqiū zébèi xiánrén			
rénshǒu búgòu			
rényuán bùzú			
háohuá			
bāguà			
lèyú zhùrén			
yǒu bāngzhù			
yǒuzhù yú			
tiāncháo			
tiāncháo xīntài			
Yìndù āsān			
Gāolí bàngzi	Gāolì bàngzi		
zhùfáng			
lìng rén yōulǜ			
nù bùkě è			
shìzi zhuāntiāo ruǎnde niē			
shìzi zhuānjiǎn ruǎnde niē			
āi mò dàyú xīnsǐ			
shàngdá tiāntīng			
shùnyìng mínyì			
guǎngǔ bìng			
guǎngǔ zhèng			
qúnqíng jīfèn			
qúnlóng wúshǒu			
zìshí èguǒ			
qúnqíng jī’áng			
hēixiāng zuòyè			
bānhuí yìchéng			
nèidòu nèiháng, wàidòu wàiháng			
shùnshì ér wéi			
zhāolìng xīgǎi	zhāolìng xìgǎi		
chǎozuò			
zhìzhī bùlǐ			
shùnkǒu liù			
shāshāng lì			
xìngzāi lèhuò			
jiànzhèng zhě			
mōzhe shítou guòhé			
huánquán yú mín			
háofà wúsǔn	háofǎ wúsǔn		
zhèngrén			
chénmín sīxiǎng			
gēnshēn dìgù			
qīngguān qíngjié			
chéngqián bìhòu			
yǔhǔ móupí			
yuánmù qiúyú			
láo ér wúgōng			
huàqīng jièxiàn			
piēqīng quānxi			
rǎnzhǐ			
jìnǚ			
shuāngmiàn rèn			
zàicháo			
zàiyě			
zhǎngquán			
dāngzhèng			
dàquán zàiwò			
xuěhèn			
zuòláo			
rùyù			
fúxíng			
yǒu zīgé			
yāpò			
zhòngzhōng zhī zhōng			
xúnxù jiànjìn			
ānbù jiùbān			
tiānfān dìfù			
fēnggōng wěijì	fēnggōng wěijī		
shěnshí duóshì	shěnshí dùshì		
shì zài bìxíng			
dōngchuāng shìfā			
sìmiàn Chǔgē			
xiànrù juéjìng			
fùbèi shòudí			
gūlì wúyuán			
gūlì			
gūlì shìjiàn			
gūlì zhǔyì			
bèidào ér chí			
cǎomù jiē bīng			
shēngxìng duōyí			
yíshén yíguǐ			
ránméi zhī jí			
wàngxiǎng zhèng			
jīquǎn shēngtiān			
yíngrèn ér jiě			
búfèi chuīhuī zhī lì			
wújì yú shì			
chùmù jīngxīn			
rúhuǒ rútú			
zhēnxiàng dàbái			
qízhì xiānmíng			
shuāngguǎn qíxià			
wèirán chéngfēng			
táng ér huángzhī			
wúyǔ lúnbǐ			
shēngshì			
tàngshǒu shānyù			
quánlì yǐ fù			
yìngyùn ér shēng			
fēngfēng yǔyǔ			
wúnéng wéilì			
qīng ér yìjǔ			
yìhū xúcháng			
tuībō zhùlán			
tuōtāi huàngǔ			
dàngrán wúcún			
yǎn’ěr dàolíng			
jūgāo línxià			
xuányá lèmǎ			
shuǐdào qúchéng			
wéiwèi jiùzhào			
shēngdōng jīxī	shēngdōng jíxī		
gāowū jiànlíng			
bùzhī biàntōng			
zhìzhī dùwài			
yǎnyǎn yìxī	yānyān yìxí		
bēigōng shéyǐng			
bàchù			
bù xiétiáo			
dé bùcháng shī			
míngzhèng yánshùn			
míngfèn			
shēnfèn			
dānjīng jiélǜ			
chúnwáng chǐhán			
tóngshēng gòngsǐ			
mìngyùn gòngtóng tǐ			
róngrǔ yǔgòng	róngrù yǔgòng		
qízǐ			
qiānfū suǒzhǐ			
yíchòu wànnián			
liúfāng bǎishì			
rìlǐ wànjī			
xià bànzi			
bōlán zhuàngkuà			
xióngwěi			
wángzhě qìxiàng	wàngzhě qìxiàng		
wángzhě fēngfàn			
chéngqián qǐhòu			
jìwǎng kāilái			
jū’ān sīwēi	jū’ān sīwéi		
yíguàn jìliǎng			
hēikè			
hàikè			
wúshí wúkè			
měishí měikè			
shíshí kèkè			
fǔdǐ chōuxīn			
nìshì cāozuò			
cāozuò			
ànxiāng cāozuò			
ànxiāng zuòyè			
míngcún shíwáng			
yǒumíng wúshí			
qiānfāng bǎijì			
mòmíng qímiào			
nèiwài jiāokùn			
jìnrén jiē zhī			
lìshǐ ēnyuàn			
kōngxué láifēng	kōngxuè láifēng		
sǐ hútong	sǐ hútòng		
sǐxiàng			
tóngzhōu gòngjì			
líxīn lídé			
xiàngxīn lì			
níngjù lì			
níngjù			
chuīlián tīngzhèng			
jūnrén gānzhèng			
gānzhèng			
pūshuò mílí			
guójì xíngshì			
hòugù zhī yōu			
dāngjiā zuòzhǔ			
yìrú fǎnzhǎng			
xíngtóng xūshè			
kāi dàochē			
qiánchē zhī jiàn			
quánxīn quányì			
zhèngrén jūnzǐ			
xùnzàng pǐn 			
wúlùn rúhé			
rìmù túqióng			
shìtú			
jǔbào zhě			
pángguān zhě			
dàkāi shājiè			
hàojié			
jiénàn			
jiéshù			
zàijié nántáo			
duǒguò yìjié			
táoguò yìjié			
fēngshēng hèlì			
rénxīn sībiàn			
bāndǎo			
dǎ jiāngshān			
zhēngquán duólì			
qiángdǎo, zhòngrén tuī			
bīngbài rú shāndǎo			
shùdǎo húsūn sǎn			
qúndài fēng			
shāshǒu jiǎn	shāshǒu jiàn		
zhèngyì zhī shī			
tānpái			
yǒngbīng zìzhòng			
jiànhǎo jiù shōu			
jiānggōng shúzuì			
shuǐhuǒ bùróng			
duìlì			
xiéyáng zìzhòng			
bùxī yízhàn	bùxí yízhàn		
gǒnggù			
quánjūn fùmò			
fèifèi yángyáng			
dé mínxīn zhě dé tiānxià, shī mínxīn zhě shī tiānxià			
chū			
sǐqì chénchén			
tíngzhì bùqián			
bǎihuā qífàng			
bǎijiā zhēngmíng			
bǎihuā qífàng, bǎijiā zhēngmíng			
biāoyǔ			
kǒuhào			
kàngměi yuáncháo			
kàngměi yuáncháo, bǎojiā wèiguó			
zhōngguó gòngchǎn dǎng wànsuì			
rén búfàn wǒ, wǒ búfàn rén; rén ruò fànwǒ, wǒ bì fànrén			
jiāng gémìng jìnxíng dàodǐ			
zhīlí pòsuì			
jīngshen wénmíng	jīngshén wénmíng		
wùzhì wénmíng	wùzhí wénmíng		
shèhuì zhǔyì jīngshen wénmíng	shèhuì zhǔyì jīngshén wénmíng		
bàchù bǎijiā			
yìjiào			
duōyuán			
duōyuán wénhuà zhǔyì			
lǎoshǒu			
guānchǎng lǎoshǒu			
chūguó fǎngwèn			
bàofù	bàofu		
jìnxíng			
lìliang	lìliàng		
bǒjiǎo			
děngxián zhī bèi			
jīngchéng tuánjié 			
xìnfú			
lìngrén xìnfú			
chénmò			
bǎochí chénmò			
xīnfú kǒufú			
bú xiàngyàng			
shìmiàn			
shìsú rénqíng			
wénhuà sùyǎng			
chàngshuāi			
kànhuài			
méi xīnjī			
xīnjī hěnshēn			
xīnjì hěnshēn			
qíshì			
quánqiú huà			
zhēngfú			
dǎ cāngyíng			
jiànguó			
kāiguó			
zhōngzhǐ			
hóngrén			
chāojí qiángquán			
chāojí dàguó			
pànguó			
